Sku,Delivery_time,Product_id,category,level,url,brand,img,Variant,source_url,desc1,um,source,href,region_name,title,price1,Saller,price,desc
,,, Electrical Switch Plates',3,http://buildkar.com/shop/electrical/switch-plates/anchor-rider-front-plates-with-base-frame-18-module-horizontal/,,,1,,,,,,,Anchor Rider Front plates with base Frame 18 Module-Horizontal,250.00,,171.75,
,,, Electrical Sockets',3,http://buildkar.com/shop/electrical/sockets/anchor-rider-combi-socket-for-all-pins-610-13a-power-socket/,,,1,,,,,,,"Anchor Rider Combi socket for all pins, 6/10 /13A (Power Socket)",173.00,,118.85,
,,, Electrical Fan regulators and Dimmers',3,http://buildkar.com/shop/electrical/fan-regulators-and-dimmers/anchor-rider-dimmer-single-tiny-450w/,,,1,,,,,,,Anchor Rider Dimmer single tiny 450W,232.00,,159.38,
,,, Electrical Fan regulators and Dimmers',3,http://buildkar.com/shop/electrical/fan-regulators-and-dimmers/anchor-rider-fan-step-regulator-tiny-eme-240v/,,,1,,,,,,,Anchor Rider Fan step Regulator Tiny EME-240V,336.00,,230.83,
,,, Electrical Switch Plates',3,http://buildkar.com/shop/electrical/switch-plates/anchor-rider-front-plates-with-base-frame-4-module/,,,1,,,,,,,Anchor Rider Front plates with base Frame 4 Module,96.00,,65.95,
,,, Electrical Switch Plates',3,http://buildkar.com/shop/electrical/switch-plates/anchor-rider-front-plates-with-base-frame-3-module/,,,1,,,,,,,Anchor Rider Front plates with base Frame 3 Module,83.00,,57.02,
,,, Electrical Switch Plates',3,http://buildkar.com/shop/electrical/switch-plates/anchor-rider-front-plates-with-base-frame-16-module-horizontal/,,,1,,,,,,,Anchor Rider Front plates with base Frame 16 Module-Horizontal,238.00,,163.51,
,,, Electrical Switch Plates',3,http://buildkar.com/shop/electrical/switch-plates/anchor-rider-front-plates-with-base-frame-2-module/,,,1,,,,,,,Anchor Rider Front plates with base Frame 2 Module,59.00,,40.53,
,,, Electrical Switches',3,http://buildkar.com/shop/electrical/switches/anchor-rider-mega-1-way-switch-240v/,,,1,,,,,,,Anchor Rider Mega 1 way switch -240V,86.00,,59.08,
,,, Electrical Switch Plates',3,http://buildkar.com/shop/electrical/switch-plates/anchor-rider-front-plates-with-base-frame-8-module-horizontal/,,,1,,,,,,,Anchor Rider Front plates with base Frame 8 Module-Horizontal,184.00,,126.41,
,,, Electrical Support Module',3,http://buildkar.com/shop/electrical/support-module/anchor-rider-fuse-for-16-or-10a/,,,1,,,,,,,Anchor Rider Fuse for 16 or 10A,90.00,,61.83,
,,, Electrical Switch Plates',3,http://buildkar.com/shop/electrical/switch-plates/anchor-rider-front-plates-with-base-frame-8-module/,,,1,,,,,,,Anchor Rider Front plates with base Frame 8 Module,184.00,,126.41,
,,, Electrical Switches',3,http://buildkar.com/shop/electrical/switches/anchor-rider-mega-1-way-switch-with-indicator-240v-16a/,,,1,,,,,,,Anchor Rider Mega 1 way switch with indicator  -240V- 16A,132.00,,90.68,
,,, Electrical Switches',3,http://buildkar.com/shop/electrical/switches/anchor-rider-slim-1-way-switch-240v/,,,1,,,,,,,Anchor Rider Slim 1 way switch -240V,64.00,,43.97,
,,, Electrical Switches',3,http://buildkar.com/shop/electrical/switches/anchor-rider-mega-1-way-switch-with-indicator-240v/,,,1,,,,,,,Anchor Rider Mega 1 way switch with indicator -240V,103.00,,70.76,
,,, Electrical Switches',3,http://buildkar.com/shop/electrical/switches/anchor-rider-slim-1-way-switch-240v-16a/,,,1,,,,,,,Anchor Rider slim 1 way switch -240V- 16A,99.00,,68.01,
,,, Electrical Switches',3,http://buildkar.com/shop/electrical/switches/anchor-rider-slim-1-way-switch-with-indicator-240v-16a/,,,1,,,,,,,Anchor Rider slim 1 way switch with indicator -240V- 16A,111.00,,76.26,
,,, Electrical Switches',3,http://buildkar.com/shop/electrical/switches/anchor-rider-slim-1-way-switch-with-indicator-240v/,,,1,,,,,,,Anchor Rider Slim 1 way switch with indicator -240V,79.00,,54.27,
,,, Electrical Switch Plates',3,http://buildkar.com/shop/electrical/switch-plates/anchor-rider-single-mounting-plate-8-module-horizontal/,,,1,,,,,,,Anchor Rider single mounting plate 8 Module-Horizontal,118.00,,81.07,
,,, Electrical Switches',3,http://buildkar.com/shop/electrical/switches/anchor-rider-mega-1-way-switch-240v-16a/,,,1,,,,,,,Anchor Rider Mega 1 way switch  -240V- 16A,119.00,,81.75,
